host_ts_ms,packet_number,time_offset_us,n_channels,ch0_type,ch0_status,ch0_value,ch1_type,ch1_status,ch1_value,ch2_type,ch2_status,ch2_value,ch3_type,ch3_status,ch3_value,ch4_type,ch4_status,ch4_value,ch5_type,ch5_status,ch5_value,ch6_type,ch6_status,ch6_value,ch7_type,ch7_status,ch7_value
1770054008069,48,0,5,0,0,4.77906,0,0,-0.000515699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008069,49,500,5,0,0,4.85075,0,0,-0.000476122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008069,50,501,5,0,0,4.90998,0,0,-0.000512838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008069,51,500,5,0,0,4.87257,0,0,-0.000493288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008069,52,501,5,0,0,4.85387,0,0,-0.000492811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008070,53,500,5,0,0,4.79776,0,0,-0.000504971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008070,54,500,5,0,0,4.80088,0,0,-0.000503778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008070,55,500,5,0,0,4.83517,0,0,-0.000487566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008071,56,500,5,0,0,4.77594,0,0,-0.000515699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008071,57,500,5,0,0,4.74477,0,0,-0.000495672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008072,58,500,5,0,0,4.78841,0,0,-0.000507116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008072,59,500,5,0,0,4.9131,0,0,-0.000499487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008073,60,500,5,0,0,4.94427,0,0,-0.000482082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008073,61,500,5,0,0,4.88816,0,0,-0.000495672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008074,62,500,5,0,0,4.85075,0,0,-0.000504971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008074,63,500,5,0,0,4.85075,0,0,-0.000482321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008075,0,500,5,0,0,4.83205,0,0,-0.000503778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008075,1,500,5,0,0,4.86946,0,0,-0.000496149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008076,2,500,5,0,0,4.88816,0,0,-0.00047946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008076,3,500,5,0,0,4.87257,0,0,-0.000506401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
