UnixTimestamp;Microseconds;MilliAmpere;CurrentKG;TargetMin;TargetMax;TargetKG
1770048075.497;200;0.00;3.74;8.12;10.98;9.55
1770048076.060;200;0.00;3.64;8.12;10.98;9.55
1770048076.186;200;0.00;3.53;8.12;10.98;9.55
1770048076.441;200;0.00;3.42;8.12;10.98;9.55
1770048076.566;200;0.00;3.56;8.12;10.98;9.55
1770048076.629;200;0.00;3.70;8.12;10.98;9.55
1770048076.691;200;0.00;4.21;8.12;10.98;9.55
1770048076.754;200;0.00;4.61;8.12;10.98;9.55
1770048076.816;200;0.00;4.96;8.12;10.98;9.55
1770048076.880;200;0.00;5.29;8.12;10.98;9.55
1770048076.943;200;0.00;6.13;8.12;10.98;9.55
1770048077.007;200;0.00;7.08;8.12;10.98;9.55
1770048077.068;200;0.00;7.84;8.12;10.98;9.55
1770048077.131;200;0.00;8.74;8.12;10.98;9.55
1770048077.195;200;0.00;9.13;8.12;10.98;9.55
1770048077.258;200;0.00;9.79;8.12;10.98;9.55
1770048077.320;200;0.00;10.70;8.12;10.98;9.55
1770048077.383;200;0.00;11.44;8.12;10.98;9.55
1770048077.446;200;0.00;11.94;8.12;10.98;9.55
1770048077.509;200;0.00;12.26;8.12;10.98;9.55
1770048077.573;200;0.00;12.39;8.12;10.98;9.55
1770048077.760;200;0.00;12.38;8.12;10.98;9.55
1770048077.822;200;0.00;12.23;8.12;10.98;9.55
1770048077.945;200;0.00;12.11;8.12;10.98;9.55
1770048078.008;200;0.00;11.86;8.12;10.98;9.55
1770048078.134;200;0.00;11.57;8.12;10.98;9.55
1770048078.198;200;0.00;11.22;8.12;10.98;9.55
1770048078.260;200;0.00;10.93;8.12;10.98;9.55
1770048078.323;200;0.00;10.63;8.12;10.98;9.55
1770048078.386;200;0.00;10.32;8.12;10.98;9.55
1770048078.448;200;0.00;10.07;8.12;10.98;9.55
1770048078.512;200;0.00;9.83;8.12;10.98;9.55
1770048078.638;200;0.00;9.55;8.12;10.98;9.55
1770048078.763;200;0.00;29.43;8.12;10.98;9.55
1770048078.825;200;0.00;39.59;8.12;10.98;9.55
1770048078.888;200;0.00;33.93;8.12;10.98;9.55
1770048078.951;200;0.00;29.34;8.12;10.98;9.55
1770048079.015;200;0.00;25.70;8.12;10.98;9.55
1770048079.078;200;0.00;22.81;8.12;10.98;9.55
1770048079.141;200;0.00;21.58;8.12;10.98;9.55
1770048079.203;200;0.00;18.44;8.12;10.98;9.55
1770048079.266;200;0.00;16.80;8.12;10.98;9.55
1770048079.329;200;0.00;15.42;8.12;10.98;9.55
1770048079.393;200;0.00;14.26;8.12;10.98;9.55
1770048079.456;200;0.00;13.76;8.12;10.98;9.55
1770048079.519;200;0.00;12.90;8.12;10.98;9.55
1770048079.581;200;0.00;12.20;8.12;10.98;9.55
1770048079.642;200;0.00;11.90;8.12;10.98;9.55
1770048079.705;200;0.00;11.17;8.12;10.98;9.55
1770048079.769;200;0.00;10.79;8.12;10.98;9.55
1770048079.832;200;0.00;10.64;8.12;10.98;9.55
1770048079.895;200;0.00;10.48;8.12;10.98;9.55
1770048079.959;200;0.00;10.22;8.12;10.98;9.55
1770048080.022;200;0.00;10.01;8.12;10.98;9.55
1770048080.147;200;0.00;9.73;8.12;10.98;9.55
1770048080.211;200;0.00;9.59;8.12;10.98;9.55
1770048080.273;200;0.00;9.48;8.12;10.98;9.55
1770048080.398;200;0.00;9.35;8.12;10.98;9.55
1770048080.525;200;0.00;9.23;8.12;10.98;9.55
1770048080.652;200;0.00;9.12;8.12;10.98;9.55
1770048081.220;200;0.00;9.02;8.12;10.98;9.55
1770048081.725;200;0.00;8.91;8.12;10.98;9.55
1770048082.042;200;0.00;8.80;8.12;10.98;9.55
1770048083.295;200;0.00;8.69;8.12;10.98;9.55
1770048083.858;200;0.00;8.58;8.12;10.98;9.55
1770048084.045;200;0.00;8.20;8.12;10.98;9.55
1770048084.109;200;8.00;7.59;8.12;10.98;9.55
1770048084.173;200;8.13;7.34;8.12;10.98;9.55
1770048084.236;200;8.13;7.23;8.12;10.98;9.55
1770048084.300;200;8.24;7.45;8.12;10.98;9.55
1770048084.364;200;8.24;7.63;8.12;10.98;9.55
1770048084.426;200;8.34;7.87;8.12;10.98;9.55
1770048084.490;200;8.45;7.93;8.12;10.98;9.55
1770048084.615;200;8.45;8.05;8.12;10.98;9.55
1770048084.679;200;0.00;8.12;8.12;10.98;9.55
1770048084.871;200;0.00;8.24;8.12;10.98;9.55
1770048084.997;200;0.00;8.37;8.12;10.98;9.55
1770048085.123;200;0.00;8.51;8.12;10.98;9.55
1770048085.248;200;0.00;8.65;8.12;10.98;9.55
1770048085.435;200;0.00;8.75;8.12;10.98;9.55
1770048085.940;200;0.00;8.29;8.12;10.98;9.55
1770048086.003;200;8.00;7.84;8.12;10.98;9.55
1770048086.066;200;8.00;7.07;8.12;10.98;9.55
1770048086.128;200;8.13;6.95;8.12;10.98;9.55
1770048086.191;200;8.13;7.30;8.12;10.98;9.55
1770048086.254;200;8.26;7.45;8.12;10.98;9.55
1770048086.316;200;8.26;7.74;8.12;10.98;9.55
1770048086.380;200;8.37;7.81;8.12;10.98;9.55
1770048086.443;200;8.37;7.92;8.12;10.98;9.55
1770048086.506;200;8.50;8.09;8.12;10.98;9.55
1770048086.567;200;0.00;8.28;8.12;10.98;9.55
1770048086.630;200;0.00;8.12;8.12;10.98;9.55
1770048086.694;200;8.00;7.85;8.12;10.98;9.55
1770048086.756;200;8.13;7.74;8.12;10.98;9.55
1770048086.819;200;8.13;7.63;8.12;10.98;9.55
1770048086.882;200;8.24;7.76;8.12;10.98;9.55
1770048086.944;200;8.24;7.87;8.12;10.98;9.55
1770048087.006;200;8.38;8.07;8.12;10.98;9.55
1770048087.068;200;0.00;8.15;8.12;10.98;9.55
1770048087.131;200;0.00;8.29;8.12;10.98;9.55
1770048087.258;200;0.00;8.41;8.12;10.98;9.55
1770048087.322;200;0.00;8.54;8.12;10.98;9.55
1770048087.448;200;0.00;8.68;8.12;10.98;9.55
1770048087.638;200;0.00;8.79;8.12;10.98;9.55
1770048088.521;200;0.00;8.21;8.12;10.98;9.55
1770048088.584;200;8.00;7.75;8.12;10.98;9.55
1770048088.647;200;8.00;6.96;8.12;10.98;9.55
1770048088.711;200;8.10;6.83;8.12;10.98;9.55
1770048088.775;200;8.10;7.19;8.12;10.98;9.55
1770048088.838;200;8.26;7.34;8.12;10.98;9.55
1770048088.902;200;8.26;7.61;8.12;10.98;9.55
1770048088.964;200;8.37;7.83;8.12;10.98;9.55
1770048089.026;200;8.37;8.02;8.12;10.98;9.55
1770048089.087;200;0.00;8.17;8.12;10.98;9.55
1770048089.214;200;0.00;8.29;8.12;10.98;9.55
1770048089.276;200;8.00;7.88;8.12;10.98;9.55
1770048089.339;200;8.00;7.11;8.12;10.98;9.55
